CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,target
0.0,0.0,1.0,1.0,0.0,3.4,2.0,152.51,1.0,3.0,9.0,0.9,0.85,89.0,5.4,0.0,22.4,1.15,4.96,0.0,1.85,0.0,1.0,0.55,0.0,1
-1.41,0.0,1.0,0.0,0.0,0.0,1.0,24.45,2.41,-2.82,-1.52,0.65,0.0,40.85,1.0,-1.41,3.52,1.3,2.59,0.7,1.7,0.0,-21.82,0.67,0.7,0
0.0,-1.79,1.0,1.0,0.0,4.0,1.0,-1.42,1.0,0.89,-1.79,1.96,2.0,-53.56,4.79,0.0,2.89,-0.79,-1.43,1.0,7.89,0.0,0.0,0.92,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.54,1.0,-0.69,0.69,-0.13,0.0,0.0,-0.39,2.0,23.92,2.69,-0.41,-0.69,-1.39,0.0,0.0,0.76,0.0,0
0.0,0.0,1.54,2.54,0.0,1.0,2.54,31.97,2.54,1.63,-0.54,0.15,1.0,51.95,3.09,0.0,10.6,2.54,-1.58,0.0,0.0,0.0,58.0,0.71,0.0,0
0.0,4.0,1.0,0.0,0.0,-2.51,1.0,-9.08,1.0,0.63,0.0,2.32,-0.63,0.0,0.0,0.0,0.37,0.0,0.64,2.25,1.25,0.0,0.0,1.1,-0.63,0
0.0,9.0,1.0,-0.53,0.0,0.0,0.47,13.55,1.0,-2.13,-2.66,1.96,0.0,-41.51,0.0,2.0,-8.51,-0.53,2.25,3.13,2.66,0.0,-0.53,1.23,0.47,0
4.0,0.0,1.0,8.66,3.0,5.0,2.0,101.61,1.0,0.0,3.0,1.59,0.0,146.07,2.32,0.0,6.68,1.0,4.12,-1.64,-1.64,0.0,0.0,0.68,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,25.36,1.0,4.0,10.0,1.06,0.0,88.0,2.0,0.0,3.0,2.0,1.61,1.0,0.12,0.0,0.0,0.89,0.0,0
0.0,0.0,1.0,-0.5,1.5,0.0,2.0,-22.51,1.0,1.0,-4.0,0.44,0.0,-23.51,2.5,0.0,-7.0,0.5,-0.93,0.0,1.0,0.0,-0.5,0.9,0.5,0
0.0,0.0,2.0,1.64,0.0,0.64,2.64,45.67,2.0,4.29,7.15,-0.64,0.0,122.0,3.64,0.0,19.79,2.0,4.78,1.64,1.64,0.0,0.0,0.39,0.0,0
1.0,0.0,1.0,0.0,0.53,0.0,0.93,23.8,4.53,6.33,6.8,0.17,0.0,78.25,2.0,1.0,4.07,2.53,-12.2,-1.07,1.0,0.0,0.0,1.18,0.47,0
0.0,2.91,1.0,1.0,0.0,5.81,1.0,56.35,1.0,0.0,0.0,1.32,5.0,16.0,4.27,1.0,1.73,-0.46,0.76,1.73,3.0,0.0,24.0,1.3,0.0,0
0.74,0.0,1.0,0.0,-0.74,0.0,1.0,20.26,3.23,0.0,0.74,4.05,0.0,5.96,-0.74,1.74,2.49,0.74,0.46,1.0,0.0,0.0,0.0,1.1,0.0,0
0.0,3.31,1.0,0.0,0.0,-2.21,1.0,13.28,1.0,0.0,0.0,-1.79,0.0,0.0,1.0,1.55,3.0,2.0,1.49,0.55,1.0,0.0,0.0,0.86,0.55,0
0.0,0.0,1.0,0.53,0.0,10.68,3.05,59.58,1.0,3.05,3.58,0.9,3.1,47.31,1.53,2.58,2.1,1.47,6.81,3.58,3.58,0.53,0.0,0.94,0.0,0
2.0,0.0,2.0,0.36,0.0,-0.64,2.36,3.46,1.0,-1.28,-2.11,1.02,0.0,6.39,2.0,0.0,-4.47,1.0,2.84,0.64,2.28,0.0,0.0,0.38,0.0,0
-3.85,0.0,2.96,-5.73,-2.89,-4.81,2.0,-38.42,2.96,5.89,1.04,-0.67,0.0,52.53,4.92,0.0,19.77,2.96,0.72,1.0,1.0,0.0,0.0,-0.03,0.0,0
0.0,9.0,1.0,0.0,0.0,-1.24,1.0,21.64,1.0,0.65,0.0,1.66,-0.65,0.0,1.35,-0.29,0.0,1.0,-3.06,-3.24,-0.65,0.0,0.0,0.49,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,4.16,17.84,1.0,0.0,5.73,-0.88,0.0,61.54,0.42,0.0,-0.58,1.0,41.45,2.0,1.0,0.0,0.0,0.15,3.16,0
0.0,0.0,1.0,0.0,0.0,2.54,1.85,13.46,1.0,1.69,4.69,0.12,0.0,78.71,-0.69,0.85,-4.23,1.85,14.12,2.69,1.85,0.0,0.0,1.4,-0.85,0
0.0,4.51,1.0,-1.51,0.0,-2.77,2.25,-30.03,2.0,5.0,-1.26,1.58,1.0,14.0,2.25,2.51,-4.52,1.25,0.54,1.0,0.25,0.0,-3.77,1.15,0.0,0
1.57,0.0,0.48,1.0,0.0,8.57,3.0,53.93,1.0,2.52,4.57,0.76,4.0,12.52,1.48,3.0,9.77,1.52,8.6,4.05,3.0,1.0,0.0,0.8,0.52,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,127.0,1.0,3.0,9.0,0.29,0.0,89.0,2.0,0.0,19.0,2.0,4.23,0.0,1.0,0.0,1.0,0.6,0.0,1
0.66,0.0,1.0,1.0,0.0,4.0,1.66,14.1,2.97,0.66,0.66,1.31,2.0,5.25,3.66,-1.97,2.0,0.34,-0.51,0.34,7.66,0.0,0.0,0.67,0.66,0
0.0,-0.56,1.0,1.0,0.0,-2.22,1.0,20.99,1.0,1.0,0.56,-0.98,0.0,100.0,5.56,0.0,1.56,2.11,1.19,0.0,1.56,0.0,0.0,0.56,0.0,0
0.0,3.0,1.0,0.0,0.0,4.0,1.0,30.18,1.0,0.96,0.0,3.5,0.0,0.0,3.86,0.04,-0.96,0.96,1.04,-0.96,2.89,0.0,6.75,0.59,0.96,0
0.0,0.0,1.0,1.0,-0.57,0.0,0.43,18.52,1.0,0.43,0.0,2.21,0.0,100.0,6.13,0.0,-0.13,1.0,0.94,0.0,3.13,0.0,3.96,1.11,0.57,0
0.0,0.12,1.0,0.0,0.63,-0.51,1.63,42.49,1.0,1.26,3.0,-2.35,0.0,60.0,2.26,-0.63,1.26,3.63,2.54,1.0,1.63,0.0,0.0,0.63,0.0,0
34.9,13.0,1.0,31.02,134.16,-0.78,0.22,71.73,23.49,20.94,101.59,0.71,-0.78,7.76,0.78,2.0,19.73,-0.78,-2.33,-0.78,0.0,0.0,0.0,1.23,-1.55,0
0.0,0.0,1.0,-1.58,1.0,-0.79,2.21,21.09,0.21,2.79,0.0,0.65,-0.79,-31.65,2.79,0.0,3.0,0.21,0.87,3.16,4.96,0.0,-45.89,0.94,3.0,0
0.0,0.0,-0.8,0.0,0.0,4.5,-1.7,51.13,1.0,0.0,3.0,0.91,-0.9,44.0,1.0,0.0,3.6,1.0,14.75,1.0,-0.8,0.0,0.0,1.0,0.0,0
1.0,0.0,0.37,0.37,1.0,0.0,1.63,23.98,0.37,-1.88,6.26,0.35,0.0,59.04,0.74,0.0,-6.79,2.37,20.5,0.63,1.0,0.0,0.0,0.62,1.26,0
0.0,2.0,1.0,-1.55,0.0,1.23,0.23,14.09,1.0,0.0,0.68,1.5,0.77,0.5,2.55,0.0,-1.55,3.0,3.11,0.23,1.0,0.0,-3.86,0.69,0.0,0
0.0,-1.96,1.0,1.96,0.0,4.35,0.35,47.27,0.35,-3.26,1.96,1.21,1.0,-6.52,0.7,-0.65,5.3,1.0,2.61,-0.65,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,4.09,2.0,52.69,1.0,-1.17,-1.09,0.68,1.17,23.9,1.0,0.0,-0.17,0.42,5.21,2.0,3.33,0.0,0.0,0.94,0.58,0
0.0,0.0,1.0,-2.18,0.0,-0.73,1.27,-17.5,3.0,4.0,-7.92,1.49,-0.73,81.74,4.91,1.0,-4.82,1.27,-2.82,-0.73,1.0,0.0,0.0,0.74,-1.46,0
-2.75,1.38,1.0,-4.5,-2.06,1.94,0.31,-14.39,1.0,0.0,0.0,1.7,2.0,-13.76,3.0,0.0,-3.5,2.38,-0.63,1.0,7.0,0.0,0.0,0.18,0.0,0
0.0,0.0,-0.84,1.0,0.0,0.0,-0.76,127.92,1.0,3.0,9.0,3.66,-1.84,89.0,0.16,0.92,19.92,1.08,4.23,0.92,-1.76,0.0,1.0,0.6,0.0,1
0.0,0.0,1.0,0.66,-0.66,7.26,0.34,45.34,1.0,-0.32,1.0,1.64,3.29,10.53,4.97,0.66,0.34,1.0,1.58,1.66,3.32,0.0,15.79,1.1,0.0,0
2.0,0.0,1.0,1.0,0.0,-4.41,1.37,-16.8,1.0,4.37,5.11,0.12,-1.26,58.21,2.0,2.0,6.63,3.0,1.73,-0.63,-2.52,0.0,31.0,1.05,0.37,1
0.0,-3.97,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,2.98,0.39,0.0,49.6,2.99,0.0,0.01,2.98,3.16,1.01,1.99,0.0,0.0,1.0,0.0,0
1.0,1.73,0.14,3.14,0.0,2.73,1.14,40.54,2.14,-2.59,0.86,1.12,0.0,87.82,0.27,0.0,-6.09,2.86,1.32,0.0,1.0,0.0,0.0,0.62,1.0,0
0.0,1.52,1.0,0.0,0.0,4.51,2.01,70.1,1.51,2.53,-1.01,1.34,1.51,14.16,4.01,0.51,5.0,1.51,-2.99,0.0,1.0,0.0,0.0,0.53,1.0,0
1.0,0.0,1.0,1.0,1.0,3.79,1.0,57.8,1.0,0.0,4.24,0.04,0.76,76.0,0.48,0.0,5.03,3.0,6.59,-0.76,1.0,0.0,0.0,0.91,0.0,0
0.0,0.0,1.0,0.57,0.0,2.3,0.43,24.82,1.0,-1.13,-1.7,2.58,1.0,-18.65,3.57,0.0,4.57,1.0,1.19,0.0,2.13,0.0,0.0,0.88,-0.57,0
-0.55,0.0,1.0,2.45,-0.55,0.0,2.0,10.53,1.0,0.0,1.27,1.42,1.0,20.45,0.45,0.0,2.0,1.45,-0.69,0.0,1.0,0.0,0.0,1.2,0.0,0
0.0,0.0,1.0,4.0,0.0,-4.61,1.06,97.96,1.0,1.94,19.68,-0.28,-2.74,158.13,1.94,-2.81,15.55,2.0,2.03,-0.87,-0.87,-0.94,0.0,0.69,2.0,0
0.0,0.0,1.0,0.0,0.74,0.0,2.49,35.43,1.0,0.74,-0.49,-0.49,0.0,-32.34,-0.49,4.0,3.74,3.0,2.03,-1.23,-0.74,0.0,0.0,1.04,2.23,0
0.0,0.0,1.0,0.65,0.0,-2.61,1.0,52.8,1.0,0.65,13.0,2.18,-0.65,115.29,3.31,0.0,-0.96,1.0,5.97,0.0,1.65,0.0,0.0,1.1,0.0,0
0.0,8.81,1.0,0.0,0.0,-0.68,1.0,14.05,1.0,-0.68,-3.39,1.24,0.0,-51.53,0.32,1.36,2.03,1.32,1.09,-0.68,-0.68,0.0,0.0,1.01,-0.68,0
6.0,1.0,1.0,5.0,3.0,6.01,2.0,873.45,7.0,20.33,61.33,0.58,0.67,97.0,0.33,2.0,61.01,9.0,5.78,-0.67,-0.67,0.0,11.0,0.53,1.0,1
0.0,0.0,1.0,0.63,-0.63,0.0,1.63,22.25,0.37,-3.13,-5.01,0.09,0.0,-8.76,2.25,2.0,36.64,2.0,1.48,0.0,-0.63,0.0,0.63,0.48,0.0,1
-0.65,0.0,1.0,-0.58,0.0,0.35,1.35,23.42,0.71,0.0,0.65,1.41,1.0,-20.04,2.0,0.0,-0.23,1.35,4.48,1.29,0.0,0.0,58.0,1.28,-0.65,0
0.0,-1.47,1.0,1.73,0.0,-1.47,2.0,12.37,1.0,5.0,2.8,1.27,0.0,107.39,3.73,0.0,19.0,0.53,3.94,2.2,0.0,0.0,1.0,0.49,1.0,0
0.0,-4.6,1.0,0.0,1.0,2.55,2.0,40.86,2.0,5.0,3.0,0.56,0.51,80.0,3.53,0.0,2.02,2.51,3.91,3.04,1.51,0.0,0.0,0.88,1.49,0
-1.34,0.0,1.0,1.33,0.0,1.0,2.0,30.03,-0.69,0.0,0.0,0.61,0.33,44.03,1.33,0.0,0.31,1.33,3.75,0.67,0.67,0.0,58.0,1.33,-0.67,0
0.0,0.0,1.0,-0.9,0.9,0.0,3.0,-77.51,1.0,-1.8,-3.22,0.3,0.0,-3.39,1.9,0.0,-16.24,0.1,25.12,2.0,1.0,0.0,-0.9,0.68,2.9,0
0.0,13.0,2.35,0.0,0.0,0.0,3.03,11.55,1.0,0.0,0.0,0.39,1.35,0.0,0.68,2.0,5.0,-0.68,0.59,0.0,2.03,0.0,0.0,1.0,0.0,0
0.0,0.0,2.99,1.0,0.0,4.0,3.99,71.08,1.0,-2.99,-4.98,1.09,1.99,-9.77,0.0,0.0,-4.97,1.0,1.51,0.0,2.99,0.0,5.0,0.92,0.0,0
0.0,-3.0,1.0,2.0,0.0,1.0,2.0,81.97,1.0,1.0,3.0,-3.25,0.0,76.96,5.0,-1.0,6.0,2.0,1.37,1.0,4.0,0.0,12.0,1.14,1.0,0
0.0,0.0,1.0,-0.89,0.0,3.0,1.0,16.65,1.0,0.0,0.0,2.19,0.0,-89.12,0.22,0.0,2.89,1.0,-0.3,0.0,2.22,0.0,0.0,0.97,1.0,0
0.0,0.0,1.0,1.0,0.0,-2.21,2.0,122.57,1.0,3.0,9.74,-0.34,0.0,89.0,1.26,0.0,18.26,2.74,5.21,0.74,-1.21,0.0,1.0,0.48,-0.74,1
0.0,0.0,1.0,0.0,0.0,-2.13,1.0,13.18,1.0,1.0,0.0,0.85,0.0,0.0,3.0,0.71,6.13,1.0,2.07,2.0,3.71,0.0,0.0,0.82,0.0,0
0.0,0.0,1.0,0.0,0.0,0.32,1.67,-0.07,1.0,2.68,6.69,0.85,-0.67,58.85,-0.01,0.0,1.33,1.67,-0.52,0.67,4.0,0.0,0.0,0.82,1.0,0
0.0,-5.74,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.64,0.0,1.91,1.0,0.0,6.91,-1.28,6.55,1.64,2.5,0.64,2.91,0.0,0.0,0.77,-0.64,0
0.0,1.16,1.0,0.0,0.0,0.0,1.0,21.09,1.0,0.42,0.0,1.19,0.0,0.0,0.25,1.16,-0.33,0.42,0.29,-0.58,-0.75,0.0,0.0,0.99,0.0,0
0.0,0.0,1.0,-0.65,0.0,2.59,1.0,43.66,1.0,0.35,0.0,1.53,0.65,-64.74,3.0,0.0,5.94,1.0,3.02,2.0,3.0,0.0,0.0,0.97,0.0,0
2.0,0.0,1.0,1.0,0.0,-1.98,1.0,33.24,5.0,1.6,5.0,-0.57,1.0,70.0,3.19,0.0,6.0,1.4,3.31,1.19,0.6,0.0,0.0,0.6,2.0,0
-0.53,0.0,1.0,0.0,0.0,0.0,0.47,22.06,-0.6,-0.53,0.47,2.8,0.0,-26.61,3.06,-0.53,-0.6,0.47,1.96,2.53,1.0,0.0,0.0,0.81,-0.53,0
1.32,0.0,1.0,0.66,0.0,0.0,1.0,16.37,1.0,0.66,-0.99,2.04,0.0,-5.96,2.0,1.32,2.99,1.66,3.03,1.34,0.34,0.0,20.52,1.14,0.66,0
0.0,0.0,1.0,0.0,0.0,7.67,1.0,102.26,1.0,0.0,-1.83,3.14,1.92,-45.84,4.83,0.0,7.67,0.08,2.94,0.0,1.0,0.0,0.0,0.8,0.0,0
-4.39,0.0,1.0,-0.88,-2.63,2.63,-0.75,5.21,0.12,0.0,-3.39,3.03,0.0,-67.54,3.12,-12.28,0.88,1.0,-14.89,-0.75,2.75,0.0,-0.88,0.86,0.0,0
0.0,-1.31,1.0,1.31,0.0,1.96,1.65,52.66,1.0,0.0,2.0,0.39,0.0,61.13,1.0,0.0,3.93,0.69,1.94,0.0,1.0,0.0,3.27,1.17,0.0,0
0.0,9.33,1.0,-0.93,0.0,11.66,2.0,125.04,1.0,1.07,3.0,3.42,2.0,-60.28,-1.73,2.8,1.93,0.07,4.28,1.0,3.13,0.0,0.0,0.27,1.0,0
0.0,0.0,1.0,0.0,0.0,7.0,1.0,78.0,1.0,-1.0,-5.0,3.06,2.0,-75.98,7.0,0.0,6.0,1.0,3.14,-1.0,1.0,0.0,0.0,0.81,-1.0,0
0.0,-5.09,1.0,0.49,0.0,0.0,2.02,20.4,1.51,3.54,-1.53,1.66,0.51,105.09,6.02,0.51,0.49,1.0,-0.39,0.0,1.0,0.0,0.0,0.72,0.0,0
0.0,0.0,1.0,1.59,-0.59,1.0,2.0,43.49,1.0,1.82,9.78,0.32,0.0,120.15,2.41,0.0,10.41,1.0,5.33,2.18,1.0,0.0,0.0,1.01,0.0,0
0.0,0.0,1.0,1.0,0.0,3.97,1.43,43.21,3.0,-0.7,-2.54,0.51,2.83,25.75,3.13,0.57,5.33,2.0,2.88,1.0,2.13,0.0,13.61,0.5,2.0,0
1.0,0.0,1.0,0.2,1.0,0.0,1.8,33.78,1.8,3.19,5.0,0.24,0.0,77.59,2.8,0.8,2.0,3.0,5.27,-0.8,1.8,0.0,0.0,0.76,0.0,0
0.0,0.0,1.0,-1.09,0.0,1.0,0.46,21.17,1.0,1.0,3.37,0.94,0.54,34.15,1.54,0.0,0.91,1.0,1.56,0.46,1.0,0.0,-2.72,1.1,1.0,0
0.0,1.0,1.0,0.66,0.0,8.6,2.31,36.82,1.0,0.66,1.97,5.57,2.63,7.88,-1.31,1.97,2.63,0.0,6.25,2.97,0.0,0.66,-4.6,0.7,-0.66,0
4.0,0.0,1.0,3.34,0.0,6.65,3.0,76.54,1.0,0.34,0.0,0.85,1.66,-13.31,2.66,0.0,2.99,1.0,5.33,1.0,0.34,0.0,199.0,0.97,0.0,0
0.0,13.0,1.0,-0.81,0.0,2.44,1.81,71.03,1.0,1.63,2.44,-0.14,0.0,26.83,-0.81,2.0,4.19,0.0,3.06,0.0,-1.63,0.0,0.0,1.1,0.81,0
0.0,-0.73,1.0,0.27,0.73,0.27,1.27,27.37,-1.92,0.81,-1.49,0.32,0.0,77.51,3.73,0.0,-2.87,1.73,4.95,0.27,1.0,0.0,0.0,0.95,-1.46,0
0.0,-2.14,1.0,0.0,0.71,4.29,-0.42,49.73,1.0,3.56,8.54,2.26,0.29,14.23,1.58,1.29,3.42,1.0,4.78,4.29,1.0,0.0,0.0,0.89,0.71,0
0.0,0.0,1.0,0.0,0.0,1.91,1.0,40.09,1.0,0.52,0.0,1.98,0.48,0.0,2.48,0.0,2.95,1.0,1.58,0.0,0.48,0.0,0.0,0.95,0.0,0
0.0,0.0,1.0,-0.53,0.0,7.68,1.0,94.66,1.0,1.05,0.0,1.89,2.05,-12.1,3.53,0.0,4.0,1.0,2.15,-0.53,3.1,0.0,0.0,0.75,0.53,0
0.0,4.7,1.0,0.0,0.0,-3.66,0.48,1.67,1.0,-0.04,-1.04,1.69,-0.52,-21.42,2.48,0.52,4.0,-0.04,1.27,1.48,1.96,0.0,0.0,0.68,0.52,0
0.0,-4.54,1.0,1.0,0.0,-1.01,1.0,15.9,1.0,1.5,0.0,0.96,0.0,100.0,4.5,-0.5,3.02,1.0,2.01,1.01,3.51,0.0,0.0,1.1,0.0,0
2.0,0.0,1.0,1.0,0.0,1.0,1.0,39.17,5.0,0.41,3.83,-0.4,1.0,11.32,0.24,0.59,6.59,2.59,1.2,-1.76,-0.59,0.0,0.0,0.59,2.0,0
-0.93,0.0,1.0,-0.78,0.0,4.07,1.07,94.52,0.07,0.0,5.78,0.84,0.0,56.63,0.07,0.0,1.37,1.0,4.2,1.93,0.07,0.0,5.0,0.93,-0.93,1
0.67,0.0,1.0,2.67,0.67,1.0,2.0,32.68,2.0,0.0,3.34,-1.11,1.0,90.8,2.67,0.0,3.0,2.67,7.61,0.0,0.0,0.0,58.0,0.75,0.0,0
0.0,0.0,1.0,-0.67,0.0,2.0,2.0,57.67,1.0,0.0,4.33,-0.71,0.0,27.72,1.33,0.0,5.0,1.67,0.78,-2.66,1.0,0.0,0.0,0.89,0.0,0
-1.29,3.0,1.0,-0.64,0.0,3.58,2.36,59.77,2.0,1.78,-3.51,1.34,1.64,21.11,3.64,-0.29,-1.29,0.71,1.83,1.0,1.64,0.0,-19.97,0.95,-0.64,0
0.63,0.0,1.0,-0.63,0.0,0.0,1.0,12.21,1.63,0.0,0.0,0.58,0.0,-10.05,1.0,1.63,-2.02,2.0,-0.16,-0.63,1.0,0.0,0.0,0.98,-0.63,0
0.0,-9.31,2.0,0.28,0.0,0.72,2.72,38.46,2.0,3.0,1.28,0.22,0.0,65.28,3.72,0.0,16.86,1.28,1.17,0.28,1.0,0.0,0.0,0.44,0.0,0
0.0,0.0,1.0,-0.86,0.0,0.0,1.0,80.16,0.14,0.86,10.42,2.62,0.0,-11.06,2.86,0.0,1.86,0.14,6.13,-0.86,1.86,0.0,0.0,1.08,0.0,0
0.0,0.0,1.0,1.78,0.0,0.0,2.78,41.62,3.0,4.92,5.92,-1.54,0.0,127.1,3.57,0.0,24.32,2.0,6.87,1.0,0.22,0.0,0.78,0.1,2.78,1
-1.45,0.0,0.27,-0.73,0.0,5.09,0.27,45.18,1.0,1.45,-0.73,3.05,0.73,-15.27,0.27,0.73,2.0,2.73,0.07,1.45,1.73,0.0,0.0,1.36,0.0,0
0.0,0.0,1.0,0.96,0.0,0.11,1.0,25.86,1.0,0.96,0.0,1.87,0.0,96.4,4.89,0.0,1.04,1.0,0.96,0.0,1.11,0.0,0.0,0.54,0.04,0
0.0,0.0,1.0,2.63,0.0,5.0,2.0,104.8,1.0,0.63,2.37,0.75,0.0,140.26,1.63,0.0,6.63,1.0,3.16,0.37,1.63,0.0,5.0,1.03,0.0,0
-3.73,0.0,1.0,-3.73,0.0,-3.73,1.0,-16.66,1.0,-0.93,5.73,0.36,-0.93,36.94,0.07,0.0,-0.93,2.0,23.36,0.93,1.0,0.0,-185.67,0.5,1.87,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,31.37,3.0,1.0,2.54,-0.02,0.0,88.82,2.0,2.17,12.63,2.54,5.03,1.54,1.0,0.0,0.0,0.32,2.0,0
0.0,0.0,1.0,1.62,0.0,0.0,2.0,19.38,1.62,0.0,4.86,-0.73,0.0,99.9,1.0,0.0,0.38,1.0,5.42,2.62,0.38,0.0,0.0,0.82,0.0,0
0.0,8.78,1.0,4.0,0.0,-0.6,2.0,62.24,1.0,1.0,12.61,-0.01,1.0,40.1,0.2,1.6,12.99,-0.39,4.7,0.2,0.2,0.0,0.0,1.07,2.0,0
1.79,-8.06,1.0,0.9,1.0,-1.79,1.9,8.31,2.0,14.48,19.27,-1.65,0.0,162.71,1.0,0.9,7.37,3.79,4.45,0.0,1.0,0.0,27.75,1.24,1.9,0
0.0,0.0,1.0,0.93,0.0,9.52,2.86,34.1,1.0,1.86,1.86,0.73,3.72,11.17,2.0,2.79,4.79,1.0,5.58,0.93,5.86,0.93,0.0,0.87,1.0,0
0.0,0.0,1.0,1.65,0.0,9.79,2.31,37.75,1.0,1.0,-0.65,1.58,6.53,100.0,7.61,0.0,1.65,0.35,2.09,1.31,12.1,0.65,0.65,0.52,0.65,0
0.0,0.0,1.0,0.0,0.0,1.34,1.0,31.02,1.0,0.67,0.0,1.73,0.33,0.0,3.67,0.0,2.34,1.0,0.86,0.0,2.33,0.0,4.66,0.51,1.67,0
0.0,0.0,1.0,0.94,1.0,-3.75,2.94,-14.48,2.0,5.0,5.82,-0.62,-0.94,132.55,0.12,0.0,-1.82,2.0,3.81,2.88,1.0,0.0,0.0,0.87,2.0,0
0.0,6.82,1.0,-0.76,0.0,0.0,1.0,11.45,1.0,-0.76,2.0,0.73,0.0,-25.75,-2.03,1.52,-0.76,1.24,3.01,0.76,-0.52,0.0,0.0,0.98,0.76,0
1.54,0.0,1.77,1.77,0.0,-3.08,3.54,96.94,1.0,3.0,11.31,-0.59,-0.77,136.79,1.23,0.0,15.92,2.0,4.87,0.0,1.0,0.0,1.0,0.21,0.0,1
2.0,0.0,1.0,2.78,0.0,-0.19,1.0,11.33,5.0,1.0,5.59,0.05,1.59,70.59,1.41,0.0,4.22,2.59,2.35,0.0,0.0,0.0,0.0,0.77,2.0,0
0.0,4.0,1.0,0.71,0.0,0.0,1.0,8.92,1.0,0.0,0.0,3.3,0.0,70.82,0.71,0.0,1.0,-0.71,2.62,3.83,0.71,0.0,0.0,0.65,0.0,0
0.0,-2.86,1.0,0.0,0.72,0.0,2.72,38.74,1.0,5.43,10.0,-1.17,0.0,88.0,3.43,0.0,3.72,2.72,1.16,0.28,1.72,0.0,0.0,0.56,0.0,0
0.0,-1.86,1.62,1.62,0.0,7.38,0.38,63.66,1.0,-1.24,0.62,0.75,4.38,12.28,5.0,0.38,9.68,1.0,1.64,1.0,3.0,0.0,24.0,0.6,0.0,0
0.0,0.0,1.0,0.57,-0.57,2.0,2.57,56.41,0.43,-5.73,-2.73,0.84,0.0,40.36,2.0,0.0,4.43,0.43,3.6,1.15,1.0,0.0,0.0,0.64,-0.57,0
0.0,9.0,1.0,0.0,0.0,6.39,1.91,83.09,1.0,0.91,2.74,0.31,1.83,30.13,-1.83,2.0,0.91,0.0,5.26,1.91,1.83,0.0,-6.39,0.67,1.0,0
-44.94,0.0,1.0,-42.94,-172.77,14.98,3.0,-95.85,-27.96,-27.96,-144.81,2.18,9.99,-97.87,7.0,0.0,-25.97,1.0,1.9,4.0,17.98,1.0,1.0,0.42,1.0,0
5.0,0.0,1.0,1.0,0.0,3.0,4.91,58.09,1.0,1.0,8.87,-0.97,0.0,100.31,-1.87,0.0,11.0,2.0,29.09,2.96,1.0,0.0,0.0,0.17,2.91,0
0.0,17.82,1.0,0.0,0.0,1.07,1.0,33.45,1.0,0.0,-1.61,1.78,0.0,-23.55,0.54,2.54,5.0,0.0,-6.06,-0.54,-0.54,0.0,0.0,0.73,0.0,0
0.0,6.11,1.0,1.0,0.0,-0.68,1.0,41.26,1.0,1.0,0.0,1.52,0.0,100.0,5.0,0.68,-0.36,1.0,1.0,0.0,-0.72,0.0,0.0,0.68,-0.68,0
1.0,0.0,1.0,0.0,0.0,2.24,2.75,36.16,4.0,2.49,4.24,-0.88,0.75,74.63,1.25,1.0,0.76,2.0,2.07,0.75,3.98,0.0,0.0,0.81,1.75,0
0.0,0.0,2.0,1.0,0.0,-2.65,2.0,0.48,2.0,3.0,2.0,-0.71,-0.66,66.0,1.67,0.66,13.34,2.66,2.6,1.0,1.0,0.0,0.0,0.35,0.0,0
0.0,0.0,1.0,0.66,0.0,7.27,0.34,50.01,-0.32,-1.64,-0.98,1.72,3.3,-37.58,4.98,0.0,1.0,0.34,0.73,1.66,3.32,0.0,15.82,1.04,0.0,0
1.0,7.57,1.0,1.0,1.0,0.0,0.42,26.09,-0.16,-2.33,3.25,0.65,0.0,33.5,0.84,0.58,4.33,1.84,5.45,0.0,0.42,0.0,0.0,0.71,0.0,0
0.0,8.22,1.0,0.0,0.0,1.83,1.0,52.65,1.0,-0.91,1.0,1.79,0.0,42.0,0.09,4.91,0.26,3.0,0.06,-2.65,-4.56,0.0,0.0,0.26,0.0,0
5.0,-1.46,1.0,1.0,0.0,5.19,3.0,66.56,1.0,1.0,3.81,1.12,0.73,19.29,2.46,1.46,12.46,0.54,5.76,4.91,1.0,0.0,0.0,0.67,1.0,0
0.0,0.0,1.0,4.0,0.0,1.78,2.0,93.15,1.0,1.78,18.9,-0.16,1.0,147.35,1.0,0.0,10.56,1.22,7.04,1.78,1.78,0.0,0.0,0.69,2.78,0
